#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between leachate and solid char sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the metadata files and this file. Each leachate has a Parent_IGSN which is the IGSN registered for each solid char from which each leachate replicate was subsampled. ,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Sample_Description,Collection_Method,Size,Size_Unit,Collector_Chief_Scientist,Collection_Date,Current_Archive,Current_Archive_Contact
BSLE_0003B,IEPRS0008,IEPRS005F,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0003C,IEPRS0009,IEPRS005F,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0004,IEPRS005G,N/A,Organic Material,douglas-fir; dead; dry; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-12,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0004A,IEPRS000A,IEPRS005G,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0004B,IEPRS000B,IEPRS005G,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0004C,IEPRS000C,IEPRS005G,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0005,IEPRS005H,N/A,Organic Material,douglas-fir; living; wet; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-13,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0005A,IEPRS000D,IEPRS005H,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living wet; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0005B,IEPRS000E,IEPRS005H,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living wet; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0005C,IEPRS000F,IEPRS005H,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living wet; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0006,IEPRS005I,N/A,Organic Material,douglas-fir; living; dry; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-12,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0006A,IEPRS000G,IEPRS005I,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living dry; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0006B,IEPRS000H,IEPRS005I,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living dry; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0006C,IEPRS000I,IEPRS005I,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living dry; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0007,IEPRS005J,N/A,Organic Material,douglas-fir; dead; wet; burn table; 300 degC grab; low severity; 295.3 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0007A,IEPRS000J,IEPRS005J,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; burn table; 300  degC grab; low severity; 295.3  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0007B,IEPRS000K,IEPRS005J,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; burn table; 300  degC grab; low severity; 295.3  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0007C,IEPRS000L,IEPRS005J,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; burn table; 300  degC grab; low severity; 295.3  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0008,IEPRS005K,N/A,Organic Material,douglas-fir; dead; dry; burn table; 300 degC grab; low severity; 372.8 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0008A,IEPRS000M,IEPRS005K,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; burn table; 300  degC grab; low severity; 372.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0008B,IEPRS000N,IEPRS005K,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; burn table; 300  degC grab; low severity; 372.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0008C,IEPRS000O,IEPRS005K,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; burn table; 300  degC grab; low severity; 372.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0009,IEPRS005L,N/A,Organic Material,big sagebrush; dead; wet; burn table; end char; low severity; 511.5 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0009A,IEPRS000P,IEPRS005L,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living wet; burn table; end char; low severity; 511.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0009B,IEPRS000Q,IEPRS005L,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living wet; burn table; end char; low severity; 511.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0009C,IEPRS000R,IEPRS005L,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living wet; burn table; end char; low severity; 511.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0010,IEPRS005M,N/A,Organic Material,douglas-fir; dead; dry; burn table; 600 degC; low severity; 626.5 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0010A,IEPRS000S,IEPRS005M,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; burn table; 600  degC; low severity; 626.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0010B,IEPRS000T,IEPRS005M,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; burn table; 600  degC; low severity; 626.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0010C,IEPRS000U,IEPRS005M,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead dry; burn table; 600  degC; low severity; 626.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0011,IEPRS005N,N/A,Organic Material,big sagebrush; dead; wet; burn table; 300 degC; low severity; 308.4 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0011A,IEPRS000V,IEPRS005N,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living wet; burn table; 300  degC; low severity; 308.4  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0011B,IEPRS000W,IEPRS005N,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living wet; burn table; 300  degC; low severity; 308.4  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0011C,IEPRS000X,IEPRS005N,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living wet; burn table; 300  degC; low severity; 308.4  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0012,IEPRS005O,N/A,Organic Material,douglas-fir; living; raw material; unburned; 25 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger,-9999,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0012A,IEPRS000Y,IEPRS005O,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0012B,IEPRS000Z,IEPRS005O,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0012C,IEPRS0010,IEPRS005O,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir living; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0013,IEPRS005P,N/A,Organic Material,douglas-fir; dead; raw material; unburned; 25 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger,-9999,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0013A,IEPRS0011,IEPRS005P,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0013B,IEPRS0012,IEPRS005P,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0013C,IEPRS0013,IEPRS005P,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0014,IEPRS005Q,N/A,Organic Material,big sagebrush; dead; raw material; unburned; 25 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger,-9999,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0014A,IEPRS0014,IEPRS005Q,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0014B,IEPRS0015,IEPRS005Q,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0014C,IEPRS0016,IEPRS005Q,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; raw material; unburned; 25 degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0015,IEPRS005R,N/A,Organic Material,rough fescue; living; raw material; unburned; 25 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger,-9999,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0016,IEPRS005S,N/A,Organic Material,big sagebrush; dead; wet; muffle; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-10-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0016A,IEPRS0017,IEPRS005S,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; wet; muffle; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0016B,IEPRS0018,IEPRS005S,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; wet; muffle; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0016C,IEPRS0019,IEPRS005S,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; wet; muffle; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0017,IEPRS005T,N/A,Organic Material,big sagebrush; dead; dry; muffle; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-10-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0017A,IEPRS001A,IEPRS005T,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; dry; muffle; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-29,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0017B,IEPRS001B,IEPRS005T,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; dry; muffle; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0017C,IEPRS001C,IEPRS005T,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush living; dry; muffle; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-11-03,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0018,IEPRS005U,N/A,Organic Material,douglas-fir ponderosa pine; wet; living; burn table; end char; unburned; 622.3 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0018A,IEPRS00O3,IEPRS005U,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; end char; unburned; 622.3  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-21,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0018B,IEPRS00O4,IEPRS005U,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; end char; unburned; 622.3  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-21,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0018C,IEPRS00O5,IEPRS005U,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; end char; unburned; 622.3  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-21,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0019,IEPRS005V,N/A,Organic Material,big sagebrush ponderosa pine; wet; dead; burn table; end char; low severity; 477.9 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0019A,IEPRS00O6,IEPRS005V,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; dead; burn table; end char; low severity; 477.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-07,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
